Station,District,Elevation,2016,2017,2018,2019,2020,2021,2022
Butwal,,180,3368.1,3525.5,NA,NA,NA,NA,NA
Beluwa Girwari ,Nawalpur,237,3007.1,2400,2395.5,2382.1,3648,3779.3,NA
Bhairahawa Airport,Rupandehi,108,1604.8,1717.2,1934.1,1273.5,1967,2843.8,1396.8
Dumkauli,Nawalpur,183,2523.5,1961.3,1774.6,NA,3791.9,3317.3,2836.5
Bhairahawa Agric ,Rupandehi,112,1579.7,1891.4,1944.2,1514,NA,NA,1476.1
Parasi,Nawalparasi,112,1695.8,2005.1,1785.2,NA,2415.6,NA,1638.4
Dumkibas,Nawalpur,167,2307.7,3051.5,2670.8,1882.9,NA,NA,2752.4
Khanchikot,Arghakhachi,1801,1448.9,1491,1305.1,1604.3,1971.2,2455.8,1662.8
Taulihawa,Kapilvastu,106,1170.1,1632.4,1440.6,1191.7,1534.6,NA,1512.7
Tilottama,Rupandehi,146,NA,NA,NA,NA,NA,3076.2,2146.8
Pattharkot West ,Kapilvastu,190,1897.7,2021.1,1575.8,1612.5,2810.5,3063.4,2476.8
Musikot,,1353,2702.5,2912.2,1540.6,1653.6,3408.2,2925.6,NA
Bhagwanpur,Kapilvastu,148,1639.2,NA,675,1404.5,NA,NA,NA
Tamghas,Gulmi,1547,2030.4,1486.7,1133.7,1336.6,1898.1,1951.6,1726.9
Gandakot,Palpa,519,1605.7,1845.9,1696.8,NA,2366.9,3206,2252.2
Semari,Nawalparasi,110,1390,2401.5,2151.5,1666,2444.6,NA,2259.6
Lumbini,Rupandehi,95,1183.5,1369.5,1174,NA,NA,2043,1228.1
Sitapur Nepaney ,Arghakhachi,1618,1997.9,2115.5,1819.7,1979.4,2936.4,3093.3,2367.4
Agimir,Gulmi,1493,1517.3,1023.8,NA,1090.6,1571.1,1541.1,1722
Anp Chour,,738,1588.1,1628.4,1044.5,1401.9,2123.6,2411.3,1428.8
Bharse,Gulmi,1626,2694.5,2281.9,1663.1,2169.2,2976.2,3411.2,2261.2
Daugha,Gulmi,960,958.3,1235.8,1872.4,1419.4,1968.6,1711.3,1351.8
Sidhara,Arghakhachi,371,1263.5,1853.9,1459.8,1390.2,1835.7,2373.4,2034.6
Dedh Gaun,Nawalpur,379,NA,2181.6,1233.9,1222,NA,1943.2,NA
Rangsing,Arghakhachi,0,1227.1,1587.1,925.4,1216,1789.6,2234.4,1986.4
Baldyanggadi,Palpa,1640,2071.9,1819,2041.1,1629,2308.9,1347.4,2043.4
Jalpa,Palpa,1512,1791.6,2105.5,1615.3,1758.4,3075.8,3307.5,2062.8
Archale,Palpa,1005,1923.4,1810.5,2490.4,1226.5,1869.3,4389.2,2743.5
Hattilung,Palpa,1127,3315.8,2176.9,2644.5,1021.3,3642.7,4323.8,1917.8
Banganga,Kapilvastu,140,1692.9,1026.8,NA,NA,2219.8,2998.6,2137.7
Deurali Nawal,Nawalpur,238,2750.2,NA,NA,569.3,NA,3570,NA
Suryapura,Rupandehi,114,1682.5,1499.7,1258.8,NA,2101.1,2494.8,1625.9
Bardaghat,Nawalparasi,126,1776.8,2763.8,1507.1,1394.9,NA,3339.6,2429.7
Marchabar,Rupandehi,104,1653.1,1972.8,NA,1259.6,1626.6,2085.4,1107.3
Sandhikharka,Arghakhachi,1030,1222.3,1116.1,993.5,959.3,1814.7,1928.3,1569.3
Jagat Setibas ,Gorkha,1334,1699.7,1443.7,1511.6,2048.4,NA,NA,1540.8
Khudi Bazar,Lamjung,838,3757.1,3256,3415.7,2932.1,4658.7,3811.7,4156
Pokhara Airport,Kaski,803.9,3517.9,3743.3,2999.7,3102.1,5454.3,5216.7,4094.9
Syangja,Syangja,871,3125.4,2763.2,2830.9,2689.6,4333.3,4168.1,2813.4
Larke Samdo,Gorkha,3650,714,606.3,660.3,722,491.2,947.1,800.6
Kunchha,Lamjung,820,2872.8,1978.1,1956.7,1720.4,NA,3241.2,3139.6
Bandipur,Tanahu,991,1378,770.2,1552.2,1629.7,2296.4,2712.3,2124.6
Gorkha Birenchowk ,Gorkha,724,1524.6,1527.4,1728.6,1524.9,1960.2,2114.3,2048.9
Gorkha Agromet,Gorkha,720,NA,NA,NA,NA,NA,NA,NA
Chapakot,Syangja,617,1626.2,1712.1,1506.4,1850.3,2476.8,2959.4,2280.6
Malepatan Pokhara ,Kaski,859,4061.7,4234.4,3453.5,3324.8,5752.7,5454.6,4530.7
Bhadaure Deurali,Kaski,1630,4362.7,4587.9,4188.1,4682.1,8937.2,6918.1,NA
Lumle,Kaski,1738,5145.6,5030.4,5055,5160.2,6226.4,5627,5202.9
Khairini Tar,Tanahun,515,2099.4,2272.5,1946.2,2009.2,3276.3,3609.4,2790.3
Damauli,Tanahun,347,1172.1,NA,1511.5,1286.6,NA,NA,NA
Lamachaur,Kaski,991,4504.6,4586.4,3835.2,3664.7,NA,4741.6,4634.1
Manang Bhot,Manang,3556,100.2,140,180.6,413.3,NA,399.7,330.4
Ghandruk,Kaski,1960,NA,NA,NA,NA,NA,4512.5,4606.6
Gharedhunga,Lamjung,1088,2870.6,2731.8,2885.3,2920.1,NA,3664.4,3179.7
Sikles,Kaski,1967,3939.3,3420.9,4201.6,4027.2,4885.2,4416.8,NA
Walling,Syangja,756,2250.3,1720.6,1918.4,NA,2667.6,2924,2716
Sallyan Kaski ,Kaski,1591,4046.5,3986.4,3719.5,3879.7,NA,5341.6,4300.5
Pamdur,Kaski,1726,4588.5,4954.9,4470.3,4865.9,6467.8,6079.6,NA
Dandaswara,Syangja,1316,3163.6,2698,2883.7,2804.6,4662.8,4607.4,NA
Chhekampar,Gorkha,3300,750.5,419.9,683.9,793.1,NA,1312.8,938.6
Naar,Manang,4195,111.4,431.3,686.2,739.5,NA,NA,NA
Goga Tilche ,Manang,2256,1090.8,977.5,1075.2,1291.1,1330.6,NA,1219.4
Pisang Gaun,Manang,3214,588.5,614.9,589.8,932.5,788,1465.8,855
Namrung,Manang,NA,312.4,NA,NA,NA,NA,NA,635.7
Machhi Khola,Gorkha,550,1975.4,1478.2,1852.3,NA,NA,2630.6,2009.9
Taal,Manang,1670,1915,NA,1393.9,1772.6,NA,NA,NA
Ghalekharka,Kaski,1665,4475.9,4105.3,4250.8,4137.8,4900.8,4238.7,NA
Rivan,Kaski,1506,5108.7,3731.7,4192,5246.3,5643.6,3784.5,2872
Bhujung,Lamjung,1690,3972.4,3318,4546.9,3853.6,NA,4156.9,3251.4
Faleni,Lamjung,1278,4073.7,3247.6,4478.9,3401.3,NA,4100.1,3863.7
Yamjakot,Kaski,1478,4703.5,3617.1,NA,NA,NA,4097.9,4600
Gilung,Lamjung,1430,3477.2,2862.9,3399.5,2679.3,NA,4591.9,4606.8
Pumdhi Bhumdhi,Kaski,1565,4334.9,4459,3573.6,4141.5,5949.6,NA,4670.5
Barpak,Gorkha,1889,4673.2,2907.3,5835.5,NA,NA,3868.7,NA
Begnas,Kaski,682,3458.3,3065.2,3205.8,2580.6,NA,4876.6,3449
Bhorletar,Lamjung,469,2608.9,2257.7,2118.2,2054.9,NA,NA,NA
Panchamul,Syangja,1575,3405.8,3139,3302.5,2938.2,NA,4409.5,3339.2
Nirmal Pokhari,Kaski,975,3083.9,2878.9,2253,1993.8,NA,4165,2764.1
Thaprek,Tanahun,1131,2638.4,2560.5,2639,2108.5,NA,3456.9,NA
Rainastar,Lamjung,588,1952.9,1599.4,2258.6,1905.8,NA,2972.1,2770.3
Syamgha,Tanahu,372,2221.7,1887.8,1977.1,NA,NA,NA,NA
Chisapani Syangja ,Syangja,1002,1292.3,569.9,535.8,NA,NA,NA,2108.7
Chundi Rangha,Tanahu,527,2163.8,1557,1655,1319.8,NA,2604.2,NA
Jyagdi,,455,1997,NA,1150.3,1019.5,NA,NA,2258.6
Malunga,Syangja,764,1350.6,1611.5,1420.5,NA,NA,NA,NA
Atraulitar,Tanahun,349,1635.5,1601.9,1556.8,1539.6,NA,2958.5,2015.7
Sakhar At Tanahun,Tanahun,288,1429.9,1517.1,1531.9,1073.1,NA,1860.3,2060.1
Kotagaun,Tanahun,355,2535.9,NA,2243.2,2048.2,NA,3986.2,2249.2
Laprak,Gorkha,NA,3328.9,1638.5,1897.2,NA,NA,1043.8,1127.3
Panchase,Parbat,2492,3280.2,NA,2032.5,2867.7,NA,NA,NA
Chumchet,Gorkha,NA,839.8,617.5,413,545.9,NA,NA,723.2
Humde,Manang,3401,270.5,298.7,467.1,NA,NA,NA,NA
Rampur,Chitwan,189,2059.8,1695,1206.4,1539,3165.1,2216.3,NA
Jhuwani,Chitwan,177,1769.8,1913.7,1514,1926.6,2395.1,2315.7,1987.8
Chisapani Gadhi,Makwanpur,1729,1646.6,1933.4,1905.5,2181,2432.5,NA,2254.4
Daman,Makwanpur,2265,NA,1357.6,1488.9,1721.1,1987.3,2193.8,1734.6
Hetauda N F I ,Makwanpur,452,2083.6,2437.6,2135.6,2254.4,2500.2,2543.5,NA
Amlekhganj,Bara,310,505.8,1808.7,1260.3,NA,NA,NA,1121.6
Simara Airport,Bara,137,1587.5,1967.1,1717.7,1738.1,2403.6,2383.1,1618.6
Nijgadh,Bara,244,330.1,NA,NA,NA,NA,2458.2,1878.4
Parwanipur,Bara,87,1312.5,1599,1553.2,1585.5,NA,1864.8,1357.6
Ramoli Bairiya,Rautahat,152,1282.2,1854.4,NA,NA,NA,1910.8,1241
Markhu Gaun,Makawanpur,1535,1012,1136.1,1092.3,1633.1,1675,1516.6,1337.8
Birganj,Parsa,67,NA,1227.4,NA,NA,NA,1950.8,1130.1
Makwanpur Gadhi,Makwanpur,1050,2034.3,2388,1360,NA,3103.4,3208.8,3168.8
Kalaiya,Bara,100,1157.7,1121.8,1401,NA,1782.8,1742.8,1171.8
Gaur,Rautahat,77,NA,NA,NA,787.4,1732.1,NA,1012.4
Kolbhi,Bara,114,1471.3,1975.6,1131.7,NA,NA,1984.5,1475.4
Bharatpur,Chitwan,216,2333.3,2040.7,2223.7,1607.1,NA,2649.9,2705.2
